video_filename,url,title,length_seconds,publish_date,description,keywords,date,date_src,transcription_filename
video_394.mp4,https://www.youtube.com/watch?v=a9Jfd-sfyw8,"Cumhurbaşkanımız Erdoğan, çöken binada vefat eden Alemdar ailesinin cenaze töreninde konuştu",273,2019-02-09 00:00:00,,[],09.02.2019,live_stream,
video_395.mp4,https://www.youtube.com/watch?v=LECWXnbi_Y0,"Cumhurbaşkanımız Erdoğan, Test ve Eğitim Gemisi Ufuk (A-591) Denize İniş Töreni'nde konuştu",1811,2019-02-09 00:00:00,,[],09.02.2019,live_stream,
video_396.mp4,https://www.youtube.com/watch?v=2emZ2fhfV6c,"Cumhurbaşkanımız Erdoğan, ODTÜ Teknokent Açılışı'nda konuştu",1315,2019-02-06 00:00:00,,[],,,
video_397.mp4,https://www.youtube.com/watch?v=63gGQULnRas,"Cumhurbaşkanımız Erdoğan, Üsküdar'da Hacı Harun Ekşi Camii’nin ibadete açılış töreninde konuştu",307,2019-02-01 00:00:00,,[],01.02.2019,live_stream,
video_398.mp4,https://www.youtube.com/watch?v=Q5mhzltsEfo,"Cumhurbaşkanımız Erdoğan, Mülki İdare Amirleri Buluşması'nda konuştu",1030,2019-01-30 00:00:00,,[],30.01.2019,live_stream,
video_399.mp4,https://www.youtube.com/watch?v=RN_jTPlbB8w,"Cumhurbaşkanımız Erdoğan, Genişletilmiş İl Seçim İşleri Başkanları Toplantısı'nda konuştu",1426,2019-01-29 00:00:00,,[],29.01.2019,live_stream,
video_400.mp4,https://www.youtube.com/watch?v=2BOwazRSirU,"Cumhurbaşkanımız Erdoğan, İİT Yardım Kuruluşları Toplantısı'nda konuştu",1131,2019-01-28 00:00:00,,[],28.01.2019,live_stream,
video_401.mp4,https://www.youtube.com/watch?v=KdL8kDdcdS8,"Cumhurbaşkanımız Erdoğan, Antalya il Başkanlığı Teşkilat Yemeğinde konuştu",608,2019-01-27 00:00:00,,[],27.01.2019,live_stream,
video_402.mp4,https://www.youtube.com/watch?v=zs_ZzhM37lE,"Cumhurbaşkanımız Erdoğan, Antalya'da Tesis ve Hizmetlerin Toplu Açılış Töreni'nde konuştu",1196,2019-01-27 00:00:00,,[],27.01.2019,live_stream,
video_403.mp4,https://www.youtube.com/watch?v=4uu3oNpKphU,"Cumhurbaşkanımız Erdoğan, Antalya  Belediye Başkan Adaylarını Tanıtım Toplantısı'nda konuştu",3215,2019-01-27 00:00:00,,[],27.01.2019,live_stream,
